Интегра;17202279;Обеденный комплект Колумбия;Columbia set 5 pcs;;Состоящий из пять элементов комплект садовой мебели Колумбия характеризуется исключительно современным и элегантным дизайном - вдохновленным натуральным ротанговым плетением. Его важнейшим преимуществом является модульная конструкция, позволяющая пр;29600;37000;Обеденные комплекты;;В НАЛИЧИИ;Израиль;коричневый ;46;кресло 56 x 54 x 68 стол 117 x 117 x 75;119 x 119 x 30;;11
Интегра;;Кресла Ялта;Yalta Double Set;;"Цвет: Венге, подушки
бежевые
";9488;12650;кресла;пластик;В НАЛИЧИИ;Россия;коричневый;15;75*70*79;120*82*37;;7
Интегра;;Набор пластиковой мебели Ялта ;Yalta Balcony Set;;"Цвет: Венге, подушки
бежевые
";11775;15700;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Россия;коричневый;26;кресло 75*70*79см стол 77*57*42;;;12
Интегра;;Набор Ялта с 2х местным диваном;Yalta Terrase Set;;"Цвет: Венге, подушки
бежевые
";18150;24200;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Россия;коричневый;37;кресло 75*70*79см стол 77*57*42 диван 128*70*79см;;;12
Интегра;;Набор Ялта с 3х местным диваном;Yalta Terrase Set Max;;"Цвет: Венге, подушки
бежевые
";23550;31400;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Россия;коричневый;;кресло 75*70*79см стол 77*57*42 диван 128*70*79см;;;12
Интегра;;Обеденный комплект Ялта;Yalta Family Set;;"Цвет: Венге, подушки
бежевые
";32625;43500;Обеденные комплекты;пластик;В НАЛИЧИИ;Россия;коричневый;;кресло 75*70*79см стол 161*95*75 см диван 128*70*79см;;;11
Интегра;;3х местный диван Ялта;Yalta Sofa 3 Seat;;;10725;14300;Диваны;пластик;В НАЛИЧИИ;Россия;коричневый;18;182*70*79см;;;8
Интегра;;2х местный диван Ялта;Yalta Sofa 2 Seat;;;8175;10900;Диваны;пластик;В НАЛИЧИИ;Россия;коричневый;12;;;;8
Интегра;;2х местный диван Небраска;NEBRASKA SOFA 2;;;10400;13000;Диваны;пластик;В НАЛИЧИИ;Италия;коричневый;18;;;;8
Интегра;;3х местный диван Небраска;NEBRASKA SOFA 3;;;13120;16400;Диваны;пластик;В НАЛИЧИИ;Италия;коричневый;26;;;;8
Интегра;;Набор пластиковой мебели Небраска;SET NEBRASKA TERRACE;;2 двухместных дивана и кофейный столик;13250;16900;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Италия;коричневый;31;;;;12
Интегра;;Набор Небраска с 2х местным диваном;SET NEBRASKA 2;;Двухместный диван, 2 кресла, кофейный столик;22960;28700;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Италия;коричневый;47;;;;12
Интегра;;Набор Небраска с 3х местным диваном;SET NEBRASKA 3;;Трехместный диван, 2 кресла, кофейный столик;26640;33300;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Италия;коричневый;54;;;;12
Интегра;;Набор мягкой мебели Небраска;Set CORNER Nebraska HB;;5 местный угловой диван + кофейный столик;37360;46700;Наборы мягкой мебели;пластик;В НАЛИЧИИ;Италия;коричневый;39;;;;12
Интегра;;Стул пластиковый с подлокотнивами;INDIANA;;Стул с подлокотнивами стопирующийся.                                        Размер стула 95x58x240 см, вес 4,7 кг.;2880;3600;Стул;пластик;В НАЛИЧИИ;Италия;коричневый;;;;;4
Интегра;;Стол пластиковый на 6 персон;HOUSTON;;;7920;9900;;пластик;В НАЛИЧИИ;Италия;коричневый;15;150x90 см;150x92x9см;;5
Интегра;;Стул  платиковый Вирджиния;VIRGINIA;;Стул стопирующийся без подлокотников;2800;3500;Стул;пластик;В НАЛИЧИИ;Италия;коричневый;4;95x46x240см;;;4
Интегра;;Стол пластиковый на 4 персоны;DALLAS;;;5440;6800;;пластик;В НАЛИЧИИ;Италия;коричневый;8,5;80х80;;;5
Интегра;;Шезлонг пластиковы стопирующийся;NILO;;;5920;7400;Лежаки, шезлонги;пластик;В НАЛИЧИИ;Италия;коричневый;10,5;190х73х235 см;;;3
Интегра;;Шезлонг пластиковы складной;MIAMI;;;5520;6900;Лежаки, шезлонги;пластик;В НАЛИЧИИ;Италия;коричневый;10;;91,5х74х238 см;;3
